Date,Price_Close,Price_Open,Price_High,Price_Low,Var
"03/03/2021","1710,95","1738,59","1740,85","1701,94","-1,56%"
"02/03/2021","1738,09","1724,10","1738,89","1707,18","0,83%"
"01/03/2021","1723,84","1733,40","1760,02","1719,52","-0,56%"
"26/02/2021","1733,49","1770,49","1776,10","1717,26","-2,06%"
"25/02/2021","1769,88","1804,80","1806,06","1765,44","-1,91%"
"24/02/2021","1804,36","1805,34","1813,99","1783,30","-0,04%"
"23/02/2021","1805,06","1809,09","1816,27","1795,78","-0,20%"
"22/02/2021","1808,66","1782,24","1812,76","1780,46","1,48%"
"19/02/2021","1782,31","1776,19","1791,70","1760,13","0,38%"
"18/02/2021","1775,49","1776,69","1789,88","1767,98","-0,04%"
"17/02/2021","1776,26","1794,65","1795,45","1769,27","-1,01%"
"16/02/2021","1794,31","1819,34","1826,75","1789,19","-1,33%"
"15/02/2021","1818,51","1825,34","1827,59","1815,71","-0,27%"
"12/02/2021","1823,46","1825,90","1830,80","1810,33","-0,10%"
"11/02/2021","1825,36","1842,65","1847,95","1820,63","-0,91%"
"10/02/2021","1842,22","1837,55","1855,70","1833,91","0,28%"
"09/02/2021","1837,06","1830,59","1849,15","1828,63","0,38%"
"08/02/2021","1830,16","1815,44","1839,15","1807,48","1,02%"
"05/02/2021","1811,62","1792,49","1815,32","1791,80","1,08%"
"04/02/2021","1792,26","1834,34","1835,13","1785,15","-2,26%"
"03/02/2021","1833,76","1837,49","1845,29","1829,49","-0,20%"
"02/02/2021","1837,35","1860,84","1864,26","1829,46","-1,23%"
"01/02/2021","1860,16","1863,05","1871,84","1849,04","0,76%"
"29/01/2021","1846,09","1840,90","1876,03","1839,56","0,31%"
"28/01/2021","1840,36","1844,34","1864,26","1833,81","-0,20%"
"27/01/2021","1843,99","1850,65","1853,58","1831,29","-0,34%"
"26/01/2021","1850,31","1855,55","1861,86","1848,36","-0,25%"
"25/01/2021","1854,99","1855,75","1868,45","1847,30","0,13%"
"22/01/2021","1852,55","1870,09","1871,17","1837,09","-0,93%"
"21/01/2021","1869,91","1871,07","1875,45","1858,16","-0,05%"
"20/01/2021","1870,91","1840,05","1872,03","1832,46","1,72%"
"19/01/2021","1839,34","1838,09","1845,98","1833,06","0,13%"
"18/01/2021","1836,89","1828,94","1840,95","1810,46","0,56%"
"15/01/2021","1826,59","1846,80","1856,85","1823,21","-1,07%"
"14/01/2021","1846,37","1843,94","1857,59","1833,21","0,16%"
"13/01/2021","1843,41","1856,19","1863,26","1843,34","-0,66%"
"12/01/2021","1855,63","1845,34","1864,08","1837,41","0,59%"
"11/01/2021","1844,66","1849,34","1857,05","1817,14","-0,19%"
"08/01/2021","1848,26","1912,90","1917,85","1828,74","-3,36%"
"07/01/2021","1912,50","1919,40","1927,97","1906,86","-0,33%"
"06/01/2021","1918,81","1950,30","1959,60","1901,11","-1,57%"
"05/01/2021","1949,35","1942,65","1953,17","1934,08","0,36%"
"04/01/2021","1942,28","1906,05","1944,65","1905,36","2,33%"
"01/01/2021","1898,10","1897,69","1899,12","1897,39","0,09%"
"31/12/2020","1896,49","1893,55","1901,26","1884,77","0,16%"
"30/12/2020","1893,37","1878,34","1894,06","1875,66","0,82%"
"29/12/2020","1877,99","1872,24","1886,91","1870,99","0,36%"
"28/12/2020","1871,19","1885,93","1900,53","1869,21","-0,25%"
"25/12/2020","1875,82","1877,07","1877,07","1877,07","-0,04%"
"24/12/2020","1876,56","1872,74","1882,55","1869,52","0,24%"
"23/12/2020","1872,08","1859,99","1878,59","1858,59","0,67%"
"22/12/2020","1859,56","1876,65","1884,61","1858,73","-0,89%"
"21/12/2020","1876,21","1883,20","1906,93","1856,69","-0,24%"
