Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2021-05-17,2021-05-17,1866.13,1843.84,1868.8,1841.24,0.013000000000000001
2021-05-18,2021-05-18,1868.22,1866.59,1875.4,1862.94,0.0011
2021-05-19,2021-05-19,1869.57,1869.59,1890.15,1851.94,0.0007000000000000001
2021-05-20,2021-05-20,1876.69,1869.74,1884.12,1863.53,0.0038
2021-05-21,2021-05-21,1880.3,1876.84,1889.85,1870.01,0.0019
2021-05-24,2021-05-24,1881.07,1882.34,1887.44,1875.19,0.0004
2021-05-25,2021-05-25,1899.26,1880.69,1900.63,1872.73,0.0097
2021-05-26,2021-05-26,1896.44,1899.49,1913.15,1890.34,-0.0015
2021-05-27,2021-05-27,1896.08,1896.49,1903.87,1888.22,-0.0002
2021-05-28,2021-05-28,1902.64,1897.05,1905.9,1881.84,0.0034999999999999996
2021-05-31,2021-05-31,1906.36,1903.69,1911.13,1901.56,0.002
2021-06-01,2021-06-01,1900.19,1907.53,1916.84,1892.28,-0.0032
2021-06-02,2021-06-02,1907.94,1900.05,1909.34,1894.05,0.0040999999999999995
2021-06-03,2021-06-03,1870.57,1908.09,1909.89,1865.11,-0.0196
2021-06-04,2021-06-04,1889.97,1871.32,1896.6,1856.09,0.0104
2021-06-07,2021-06-07,1899.0,1888.49,1900.41,1880.88,0.0048
2021-06-08,2021-06-08,1892.82,1898.99,1903.95,1883.38,-0.0033
2021-06-09,2021-06-09,1888.77,1893.49,1899.4,1886.58,-0.0021
2021-06-10,2021-06-10,1897.51,1888.57,1900.09,1869.84,0.0046
2021-06-11,2021-06-11,1876.64,1898.42,1903.3,1874.07,-0.011000000000000001
2021-06-14,2021-06-14,1865.99,1874.59,1878.21,1844.57,-0.005699999999999999
2021-06-15,2021-06-15,1858.69,1866.26,1869.67,1851.28,-0.0039000000000000003
2021-06-16,2021-06-16,1811.95,1858.96,1862.43,1804.19,-0.025099999999999997
2021-06-17,2021-06-17,1773.31,1812.18,1825.58,1766.88,-0.0213
2021-06-18,2021-06-18,1763.34,1772.73,1797.24,1761.04,-0.005600000000000001
2021-06-21,2021-06-21,1782.95,1764.44,1786.75,1764.44,0.0111
2021-06-22,2021-06-22,1778.52,1783.23,1790.42,1771.99,-0.0025
2021-06-23,2021-06-23,1778.73,1778.8,1795.18,1773.13,0.0001
2021-06-24,2021-06-24,1775.18,1779.01,1788.56,1772.67,-0.002
2021-06-25,2021-06-25,1780.34,1775.46,1790.6,1773.27,0.0029
2021-06-28,2021-06-28,1778.18,1781.24,1785.9,1770.69,-0.0012
2021-06-29,2021-06-29,1761.09,1778.44,1779.24,1750.11,-0.0096
2021-06-30,2021-06-30,1769.8,1761.35,1774.72,1752.78,0.0049
2021-07-01,2021-07-01,1776.62,1770.06,1783.07,1765.47,0.0038
2021-07-02,2021-07-02,1786.79,1776.83,1795.4,1773.73,0.005699999999999999
2021-07-05,2021-07-05,1791.61,1787.69,1795.69,1784.09,0.0027
2021-07-06,2021-07-06,1796.69,1791.88,1815.34,1789.91,0.0028000000000000004
2021-07-07,2021-07-07,1803.41,1796.96,1810.13,1793.64,0.0037
2021-07-08,2021-07-08,1802.56,1803.67,1818.7,1794.28,-0.0005
2021-07-09,2021-07-09,1807.98,1802.89,1812.71,1796.09,0.003
2021-07-12,2021-07-12,1806.07,1807.94,1811.04,1791.21,-0.0011
2021-07-13,2021-07-13,1807.69,1806.17,1817.51,1798.54,0.0009
2021-07-14,2021-07-14,1827.06,1807.72,1830.32,1804.21,0.010700000000000001
2021-07-15,2021-07-15,1829.19,1827.35,1833.99,1820.07,0.0012
2021-07-16,2021-07-16,1810.89,1829.45,1832.2,1808.65,-0.01
2021-07-19,2021-07-19,1812.34,1811.65,1817.56,1794.66,0.0008
2021-07-20,2021-07-20,1810.03,1812.61,1825.27,1805.06,-0.0013
2021-07-21,2021-07-21,1803.31,1810.32,1814.02,1794.18,-0.0037
2021-07-22,2021-07-22,1806.56,1803.58,1808.34,1792.11,0.0018
2021-07-23,2021-07-23,1801.34,1806.95,1810.56,1790.45,-0.0029
2021-07-26,2021-07-26,1797.27,1802.65,1811.97,1795.68,-0.0023
2021-07-27,2021-07-27,1798.82,1797.53,1805.6,1792.83,0.0009
2021-07-28,2021-07-28,1806.52,1799.0,1809.9,1792.6,0.0043
2021-07-29,2021-07-29,1827.95,1807.15,1833.05,1806.29,0.011899999999999999
2021-07-30,2021-07-30,1813.58,1828.21,1831.63,1809.48,-0.0079
2021-08-02,2021-08-02,1812.84,1814.34,1819.94,1805.12,-0.0004
2021-08-03,2021-08-03,1809.94,1813.64,1815.18,1806.73,-0.0016
2021-08-04,2021-08-04,1811.33,1810.6,1832.1,1806.54,0.0008
2021-08-05,2021-08-05,1804.07,1811.69,1815.45,1797.74,-0.004
2021-08-06,2021-08-06,1762.69,1804.28,1804.93,1758.33,-0.0229
2021-08-09,2021-08-09,1729.46,1763.34,1764.65,1684.77,-0.0189
2021-08-10,2021-08-10,1728.71,1729.74,1738.49,1717.17,-0.0004
2021-08-11,2021-08-11,1751.56,1729.01,1754.63,1723.54,0.0132
2021-08-12,2021-08-12,1752.75,1751.66,1758.62,1741.29,0.0007000000000000001
2021-08-13,2021-08-13,1779.15,1752.72,1780.53,1751.27,0.0151
2021-08-16,2021-08-16,1786.57,1778.44,1789.51,1770.38,0.0042
2021-08-17,2021-08-17,1785.96,1787.51,1795.77,1780.28,-0.0003
2021-08-18,2021-08-18,1787.59,1786.21,1794.31,1777.31,0.0009
2021-08-19,2021-08-19,1779.25,1788.05,1792.56,1774.2,-0.004699999999999999
2021-08-20,2021-08-20,1780.87,1780.44,1788.85,1777.96,0.0009
2021-08-23,2021-08-23,1805.2,1780.55,1806.92,1776.03,0.0137
2021-08-24,2021-08-24,1802.61,1805.61,1810.03,1799.73,-0.0014000000000000002
2021-08-25,2021-08-25,1790.68,1802.86,1803.57,1782.45,-0.0066
2021-08-26,2021-08-26,1792.18,1791.09,1798.61,1779.48,0.0008
2021-08-27,2021-08-27,1816.67,1792.6,1819.38,1787.66,0.0137
2021-08-30,2021-08-30,1810.02,1817.55,1823.38,1807.28,-0.0037
2021-08-31,2021-08-31,1813.43,1810.26,1819.43,1801.47,0.0019
2021-09-01,2021-09-01,1813.66,1813.57,1820.21,1808.18,0.0001
2021-09-02,2021-09-02,1809.4,1813.92,1817.53,1804.48,-0.0023
2021-09-03,2021-09-03,1826.19,1809.98,1834.55,1808.53,0.009300000000000001
2021-09-06,2021-09-06,1823.1,1828.66,1830.6,1820.58,-0.0017000000000000001
2021-09-07,2021-09-07,1794.13,1823.27,1827.39,1792.33,-0.0159
2021-09-08,2021-09-08,1788.93,1794.41,1802.6,1781.98,-0.0029
2021-09-09,2021-09-09,1794.69,1789.19,1801.19,1783.83,0.0032
2021-09-10,2021-09-10,1787.34,1794.61,1804.15,1786.53,-0.0040999999999999995
2021-09-13,2021-09-13,1793.49,1788.55,1798.66,1783.73,0.0034000000000000002
2021-09-14,2021-09-14,1804.27,1793.77,1808.99,1781.89,0.006
2021-09-15,2021-09-15,1792.59,1804.53,1807.3,1790.28,-0.006500000000000001
2021-09-16,2021-09-16,1753.39,1794.34,1796.71,1745.04,-0.0219
2021-09-17,2021-09-17,1754.16,1753.67,1768.22,1747.07,0.0004
2021-09-20,2021-09-20,1763.88,1754.3,1767.31,1742.24,0.0055000000000000005
2021-09-21,2021-09-21,1774.25,1764.19,1782.07,1757.61,0.0059
2021-09-22,2021-09-22,1767.91,1774.51,1787.51,1764.84,-0.0036
2021-09-23,2021-09-23,1742.57,1768.4,1776.6,1737.84,-0.0143
2021-09-24,2021-09-24,1749.86,1742.82,1758.08,1739.6,0.0042
2021-09-27,2021-09-27,1749.85,1751.24,1761.29,1744.19,-0.0
2021-09-28,2021-09-28,1733.68,1750.45,1754.8,1727.18,-0.0092
2021-09-29,2021-09-29,1726.53,1733.97,1746.11,1721.07,-0.0040999999999999995
2021-09-30,2021-09-30,1756.66,1726.4,1764.53,1721.67,0.0174
2021-10-01,2021-10-01,1760.36,1756.91,1764.4,1749.36,0.0021
2021-10-04,2021-10-04,1769.51,1762.15,1771.06,1747.23,0.0052
2021-10-05,2021-10-05,1759.96,1769.75,1771.03,1748.56,-0.0054
2021-10-06,2021-10-06,1762.48,1760.45,1765.78,1745.45,0.0014000000000000002
2021-10-07,2021-10-07,1755.29,1762.74,1767.45,1751.38,-0.0040999999999999995
2021-10-08,2021-10-08,1756.67,1755.89,1781.6,1753.03,0.0008
2021-10-11,2021-10-11,1753.86,1757.34,1761.36,1749.68,-0.0016
2021-10-12,2021-10-12,1759.93,1754.12,1769.78,1750.47,0.0034999999999999996
