Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-08-18,44723.54788930048,46037.828680273764,44208.93581826314,44674.721570370784,840003166487.536,44.19507207471338,0.6723878284321689,18796695.76181334
2021-08-17,44702.679927049634,47183.41748830067,44395.67252937083,46097.06783779848,864364197236.643,43.888088375461706,0.6592775543780661,18795851.86000301
2021-08-16,45944.57110085371,48080.53719571329,45677.51036536144,47056.23929198293,884408680338.5732,43.886032794663734,0.6515105061283083,18794782.92687513
2021-08-15,47019.242786178664,47505.097375612386,45526.1172034229,47102.72862579556,885238173126.7728,44.451208007361465,0.6518377900804982,18793776.60384326
2021-08-14,47113.09372840073,48195.70156655153,46021.330093520366,47824.19844078444,898741006313.3245,44.88920619730186,0.6651837056082056,18792639.05617716
2021-08-13,47824.71047899698,47910.12465514305,44159.352688455554,44267.325712950274,834338737738.6477,45.00749569938892,0.6593212874163225,18791614.00410841
2021-08-12,44427.68487627358,46277.56883478946,43792.61203754552,45896.61804368654,856409163776.3387,45.08182824822266,0.6348851457941453,18790726.43027268
2021-08-11,45547.32441341331,46801.26666411236,45360.08500826347,45619.63618081452,857719763842.3818,45.86357604769676,0.6208687013779425,18789782.63687764
2021-08-10,45570.76175014585,46735.782840737455,44637.05571213154,46396.46320250564,871736939476.9901,46.784461011848045,0.6461232290979579,18788863.80764729
2021-08-09,46278.253536640885,46508.72800292927,42800.14733461399,44209.13937963192,823745389172.3314,46.41745162473342,0.6263729501858849,18787832.50365911
2021-08-08,43849.0961868643,45371.54755719861,43282.53594976326,44551.447132254056,837002242091.8694,45.76216623600208,0.6166607481059105,18786882.44795999
2021-08-07,44623.75802778377,44812.75653047509,42470.01809960771,42864.08294523916,805405882863.8239,46.4169919781226,0.6048739320463677,18785894.92168452
2021-08-06,42861.677909854814,43409.674037838224,39878.444811980284,40884.83000238811,768013382011.285,45.78707581680085,0.6207189726812561,18784851.13444539
2021-08-05,40906.72936123486,41404.90785459773,37322.48374116952,39749.98807747049,746618904326.07,45.64483087230936,0.6025373875896374,18783857.27154379
2021-08-04,39711.576945807625,39989.45841780148,37472.15,38136.04453901897,716303648663.8817,45.82568646998471,0.5953306006610382,18782857.2274188
2021-08-03,38214.81668506366,39804.52181868912,37639.50045025114,39152.28128390174,735615874926.7351,45.89164720427171,0.614582529073387,18782007.17911455
2021-08-02,39175.32554102747,40514.92978116385,38691.00535074573,39978.23399812239,750809011802.6333,46.625638720394576,0.6014159583104246,18780950.8812903
2021-08-01,39871.314841764244,42615.56389748529,39439.5940077808,41561.59902283489,780542249115.7811,47.54179690241481,0.5852251887431588,18780057.07767903
2021-07-31,41485.3914898339,42446.10697789674,41046.536368502784,42262.10991347686,793623218282.7191,48.41182348511018,0.5846693969808903,18779094.44996355
2021-07-30,42229.805800357586,42338.562333622765,38339.776462413785,40012.70963688073,751363183573.4065,47.752150128674266,0.5848670229616219,18778106.91830212
2021-07-29,40032.51673091158,40685.39131845406,39226.74914050892,39999.63790198583,751110839689.0695,48.28931985803106,0.5860931561061662,18777069.32713763
2021-07-28,40047.367972189335,40919.62949330379,38791.42597553725,39464.274156288964,740421265715.7383,48.08651282532186,0.5889539974185101,18776069.25960242
2021-07-27,39478.99469474245,39559.84343835239,36397.66587878407,37327.27183059199,700618154559.2839,47.41677479661783,0.6362414562807489,18775087.94176287
2021-07-26,37258.11169992395,40571.77548104015,35244.824256785774,35372.15364800145,664075872384.6238,46.41437918027047,0.6968244851613791,18774025.40361567
2021-07-25,35416.083767790995,35436.5407516278,33867.757376226495,34300.96828029872,643934776350.5321,45.76797903181727,0.592703116242848,18773087.85997292
2021-07-24,34279.26671222107,34555.79602993533,33418.018667023614,33589.95369121592,630555330652.2644,45.75932770655971,0.67186136898961,18772131.57933829
2021-07-23,33648.05439739837,33662.29931892194,31943.92063598988,32188.993717477548,606415527729.5022,45.625098608365484,0.6600517501374323,18771169.05272298
2021-07-22,32287.333380162017,32604.94183652969,31721.673326013013,32102.782330120328,602651158765.2057,45.94030915016882,0.6717908004949483,18770325.23865516
2021-07-21,32145.21054684758,32847.649568195855,29495.361546560438,29793.123401650842,559309732766.1619,46.224832142463,0.6781459319180525,18769368.93309479
2021-07-20,29807.79473257486,31069.7593339584,29291.24440644099,30867.65078088612,579032165410.6823,46.30787905398457,0.7291110508725477,18768462.64238576
2021-07-19,30843.20915229,31909.156907182984,30424.717406898264,31785.862809705723,596960875500.247,45.98189285105636,0.7211634112880501,18767700.07461617
2021-07-18,31801.533237922555,32455.05893817744,31118.74394925814,31530.537666717086,591953301228.8912,45.93872213479626,0.713108365340879,18766637.52119046
2021-07-17,31532.01401902486,31967.54963323342,31174.77098128088,31411.627364796863,589406665480.6649,46.01417191955118,0.7387406445214366,18765737.49709372
2021-07-16,31395.101942953344,32257.484903590313,31025.06648265332,31756.448598912568,598191585397.1111,45.61477118788495,0.7378891753816756,18764843.65920654
2021-07-15,31877.967088084974,33236.11300276033,31128.671743189305,32855.790391070266,615782207309.5413,45.6007409374154,0.7581851622719555,18763906.04099757
2021-07-14,32838.40637757754,33129.49143080129,31578.370584382294,32735.40260724191,614129076445.7614,45.71929322447802,0.7467812620918232,18763105.92689934
2021-07-13,32729.372735564528,33336.33142590931,32197.088210283444,33145.08669858695,620679636887.0529,45.245156768344714,0.7704504770824186,18762043.28883198
2021-07-12,33087.1818330396,34697.43455503443,32649.81715270079,34228.390813185666,642639061943.2975,45.29459550672393,0.8453411725696256,18761193.16083482
2021-07-11,34257.992760709334,34618.0210982812,33311.842111614795,33517.714361712046,628737364958.0264,45.068988618287676,0.8510700113043346,18760405.51048352
